country,subnational1,umd_tree_cover_density__threshold,umd_tree_cover_extent_2000__ha,whrc_aboveground_biomass_stock_2000__Mg,avg_whrc_aboveground_biomass_2000_Mg_ha-1,gfw_gross_emissions_co2e_all_gases__Mg_yr-1,gfw_gross_cumulative_aboveground_belowground_co2_removals__Mg_yr-1,gfw_net_flux_co2e__Mg_yr-1,gfw_gross_emissions_co2e_all_gases_2001__Mg,gfw_gross_emissions_co2e_all_gases_2002__Mg,gfw_gross_emissions_co2e_all_gases_2003__Mg,gfw_gross_emissions_co2e_all_gases_2004__Mg,gfw_gross_emissions_co2e_all_gases_2005__Mg,gfw_gross_emissions_co2e_all_gases_2006__Mg,gfw_gross_emissions_co2e_all_gases_2007__Mg,gfw_gross_emissions_co2e_all_gases_2008__Mg,gfw_gross_emissions_co2e_all_gases_2009__Mg,gfw_gross_emissions_co2e_all_gases_2010__Mg,gfw_gross_emissions_co2e_all_gases_2011__Mg,gfw_gross_emissions_co2e_all_gases_2012__Mg,gfw_gross_emissions_co2e_all_gases_2013__Mg,gfw_gross_emissions_co2e_all_gases_2014__Mg,gfw_gross_emissions_co2e_all_gases_2015__Mg,gfw_gross_emissions_co2e_all_gases_2016__Mg,gfw_gross_emissions_co2e_all_gases_2017__Mg,gfw_gross_emissions_co2e_all_gases_2018__Mg,gfw_gross_emissions_co2e_all_gases_2019__Mg,gfw_gross_emissions_co2e_all_gases_2020__Mg
India,Rajasthan,20,22609,4026245,178,,,,,,,,,,,,,,,,,,,,,,,
India,Rajasthan,25,13789,2594280,188,,,,,,,,,,,,,,,,,,,,,,,
India,Rajasthan,30,12039,2325993,193,5122,37682,-32560,6356,6543,6817,11594,8874,5514,12487,12773,12093,3020,7143,9211,0,22,0,0,0,0,0,0
India,Rajasthan,50,2335,508743,218,4141,7076,-2935,5393,4622,5907,9775,7593,4587,10232,10674,10513,2084,3754,7669,0,22,0,0,0,0,0,0
India,Rajasthan,75,539,122276,227,2083,1638,445,2989,2090,3657,6023,4744,2048,2271,4887,7761,870,936,3382,0,0,0,0,0,0,0,0
India,Sikkim,0,708307,71027134,100,,,,,,,,,,,,,,,,,,,,,,,
India,Sikkim,10,272100,68566708,252,,,,,,,,,,,,,,,,,,,,,,,
India,Sikkim,15,261454,67154494,257,,,,,,,,,,,,,,,,,,,,,,,
India,Sikkim,20,259945,66950081,258,,,,,,,,,,,,,,,,,,,,,,,
India,Sikkim,25,257823,66687714,259,,,,,,,,,,,,,,,,,,,,,,,
India,Sikkim,30,250451,65497824,262,39243,351954,-312712,16436,4870,6640,31844,15138,6572,53947,70193,80032,45827,156187,46066,10204,10285,3199,23366,30118,32585,78772,62572
India,Sikkim,50,210073,58259051,277,35125,275425,-240301,13026,4477,5844,29894,13782,6153,49653,65572,74267,42739,148073,42396,7745,7709,2974,19402,22800,26776,66795,52416
India,Sikkim,75,107421,33195405,309,22142,114793,-92651,8801,2901,3685,21983,8536,4237,30410,42179,54086,33651,115623,31369,3424,2127,1156,6567,9655,10659,28856,22938
India,Tamil Nadu,0,13028087,266555251,20,,,,,,,,,,,,,,,,,,,,,,,
India,Tamil Nadu,10,1607799,263452120,164,,,,,,,,,,,,,,,,,,,,,,,
India,Tamil Nadu,15,1476596,250611311,170,,,,,,,,,,,,,,,,,,,,,,,
India,Tamil Nadu,20,1412456,243875619,173,,,,,,,,,,,,,,,,,,,,,,,
India,Tamil Nadu,25,1341990,236406701,176,,,,,,,,,,,,,,,,,,,,,,,
India,Tamil Nadu,30,1230520,224857988,183,585487,4011918,-3426431,1120887,443773,247063,615322,446065,822251,842440,605748,200342,40919,583604,733656,289433,457527,470255,602028,707679,889587,1002326,588825
India,Tamil Nadu,50,923308,185079443,200,534077,3005022,-2470945,1095873,417154,228337,568627,424583,782854,796180,564600,183257,37893,529619,665343,259264,411161,432252,538877,625265,771966,844623,503810
India,Tamil Nadu,75,402272,97868674,243,363415,1269498,-906083,1007057,328344,166146,439996,342072,612134,597979,421540,121848,22803,354018,467605,159872,243580,258957,276579,323552,411850,472691,239679
India,Telangana,0,11471211,158484658,14,,,,,,,,,,,,,,,,,,,,,,,
India,Telangana,10,1139909,157069638,138,,,,,,,,,,,,,,,,,,,,,,,
India,Telangana,15,970654,138801421,143,,,,,,,,,,,,,,,,,,,,,,,
India,Telangana,20,920978,133239775,145,,,,,,,,,,,,,,,,,,,,,,,
India,Telangana,25,845132,124249972,147,,,,,,,,,,,,,,,,,,,,,,,
India,Telangana,30,663616,104513987,157,689939,2269376,-1579437,372091,307592,414558,424268,465223,649291,811511,1512072,1909825,403778,2409099,1944026,339275,894396,100184,153960,137378,175670,267493,107090
India,Telangana,50,431620,73550631,170,467693,1449435,-981742,279751,200394,278741,259891,301733,411309,542703,1035629,1316467,283731,1592765,1396392,201711,607983,73257,106947,99874,125669,170189,68724
India,Telangana,75,59026,13089507,222,57224,165363,-108138,102230,34782,56582,39541,52731,56735,58579,111358,154632,40559,172738,167071,5650,21149,8432,13153,11318,16287,13788,7173
India,Tripura,0,1053626,141018904,134,,,,,,,,,,,,,,,,,,,,,,,
India,Tripura,10,757362,140580804,186,,,,,,,,,,,,,,,,,,,,,,,
India,Tripura,15,726046,137311312,189,,,,,,,,,,,,,,,,,,,,,,,
India,Tripura,20,714363,136034036,190,,,,,,,,,,,,,,,,,,,,,,,
India,Tripura,25,701385,134514972,192,,,,,,,,,,,,,,,,,,,,,,,
India,Tripura,30,669293,130815887,195,2692970,3545395,-852425,1637150,975032,595134,1423782,751153,3131866,2897385,2653273,2489075,1686201,1276161,1088603,1302790,2685436,2083751,2738316,8257707,3908220,5881772,6396596
India,Tripura,50,582051,118889742,204,2596624,3090928,-494304,1625245,957668,581331,1392625,733026,3061552,2830941,2571125,2412919,1630570,1232834,1052256,1222146,2548998,1983712,2590597,7961697,3727350,5652462,6163435
India,Tripura,75,210173,47965606,228,1463704,1079872,383832,1486359,818263,466368,1117093,592857,2409088,2224805,1890892,1786771,1214546,877382,787351,401713,961021,803148,1100620,3655114,1515845,2488732,2676113
India,Uttar Pradesh,0,24075139,120493068,5,,,,,,,,,,,,,,,,,,,,,,,
India,Uttar Pradesh,10,599914,116512028,194,,,,,,,,,,,,,,,,,,,,,,,
India,Uttar Pradesh,15,509796,105117550,206,,,,,,,,,,,,,,,,,,,,,,,
India,Uttar Pradesh,20,490902,102363945,209,,,,,,,,,,,,,,,,,,,,,,,
India,Uttar Pradesh,25,442885,95428775,215,,,,,,,,,,,,,,,,,,,,,,,
India,Uttar Pradesh,30,359975,86358151,240,90506,857423,-766917,225614,61133,42398,102000,102687,162306,152759,99937,143405,94378,215720,198381,29283,44222,29251,47639,19191,31778,4951,3091
India,Uttar Pradesh,50,217561,56505775,260,54749,507596,-452848,176455,43494,27974,64668,61231,114926,88130,56580,92310,45229,139474,126321,13065,10526,5632,4040,11639,9863,1129,2287
India,Uttar Pradesh,75,29301,7420388,253,21988,78312,-56324,86846,21364,10254,27599,28423,46343,34100,20018,33102,11556,54998,55356,1966,633,444,518,1773,3740,233,491
India,Uttarakhand,0,5380852,547154010,102,,,,,,,,,,,,,,,,,,,,,,,
India,Uttarakhand,10,2149827,535881091,249,,,,,,,,,,,,,,,,,,,,,,,
India,Uttarakhand,15,2062272,523766032,254,,,,,,,,,,,,,,,,,,,,,,,
India,Uttarakhand,20,2040365,520561603,255,,,,,,,,,,,,,,,,,,,,,,,
India,Uttarakhand,25,2001006,514625181,257,,,,,,,,,,,,,,,,,,,,,,,
India,Uttarakhand,30,1948840,506962524,260,428493,8122710,-7694217,161485,282617,127115,404244,324783,511847,475124,813991,508796,362215,428239,778675,257020,338530,448448,502953,406339,385144,460222,592073
India,Uttarakhand,50,1637553,446267464,273,379216,6772147,-6392931,145526,257769,108319,369757,280942,456340,428155,737435,448866,327634,357073,708669,217470,294007,377718,422793,362009,358705,397885,527243
India,Uttarakhand,75,973083,281335022,289,235809,3879361,-3643552,104336,203333,75177,262446,192761,293231,274152,499092,315389,228564,197685,498082,111784,167102,184607,265813,164345,207967,228677,241641
India,West Bengal,0,8536526,105046468,12,,,,,,,,,,,,,,,,,,,,,,,
India,West Bengal,10,677196,103492516,153,,,,,,,,,,,,,,,,,,,,,,,
India,West Bengal,15,508578,88390232,174,,,,,,,,,,,,,,,,,,,,,,,
India,West Bengal,20,482327,85895553,178,,,,,,,,,,,,,,,,,,,,,,,
India,West Bengal,25,441567,81369061,184,,,,,,,,,,,,,,,,,,,,,,,
India,West Bengal,30,407919,77433108,190,289467,2104726,-1815258,191331,165588,82772,237164,186030,333821,675119,634438,386221,828852,399305,519785,136784,270269,65268,105889,198355,118783,132669,120900
India,West Bengal,50,290585,62034728,213,239139,1477944,-1238805,170835,137758,69344,167417,154386,267063,587066,546664,331290,720414,341797,426150,95450,195540,53308,82744,161612,91916,98574,83457
India,West Bengal,75,91425,25271420,276,107412,215915,-108503,120748,75002,39842,79331,87403,137566,314370,290954,175388,332879,155368,194062,14095,25326,7095,16350,35056,15405,16086,15913
